,Office,Report Time (Local WFO Timezone),Report Time (UTC Timezone),County,Location,ST,Event Type,Mag.,Source,Lat,Lon,Remark,ugc,ugcname,geometry,STATION,ID,ELEV,LATITUDE,LONGITUDE,COUNTY,OPERATOR AGENCY,dist
60,SGX,2023/01/10 09:30,2023/01/10 17:30,SAN BERNARDINO,4 NNE LYTLE CREEK,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,34.31,-117.48,LARGE BOULDER IN LANE ON HIGHWAY 138. MORMON ROCK RAWS WITH 1.7 RAINFALL AND PEAK RATE 0.3 PER HOUR AT 9 PM. I-15 INTERSECTION.,CAC071,San Bernardino,POINT (-117.48 34.31),MORMON ROCK,MRN,3300,34.317001,-117.501999,SAN BERNARDINO,US Forest Service,0.023086143073273762
61,SGX,2023/01/10 10:04,2023/01/10 18:04,SAN BERNARDINO,3 NE LYTLE CREEK,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,34.29,-117.45,CALTRANS REPORT OF A MUDSLIDE ACROSS ALL LANES ON THE CAJON PASS.,CAC071,San Bernardino,POINT (-117.45 34.29),MORMON ROCK,MRN,3300,34.317001,-117.501999,SAN BERNARDINO,US Forest Service,0.05859138163586349
62,SGX,2023/01/10 14:27,2023/01/10 22:27,RIVERSIDE,7 E HEMET,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.74,-116.85,"VEHICLE STUCK IN THE MUD ON HIGHWAY 74 AT BLACKBURN RD, JUST OUTSIDE OF THE FAIRVIEW FIRE BURN SCAR. STORM TOTAL PRECIPITATION IN THIS AREA WAS AROUND 0.50 INCH, ABOUT HALF OF WHICH FELL BETWEEN 1 AND 2 PM.",CAC065,Riverside,POINT (-116.85 33.74),CRANSTON,CNS,1950,33.740002,-116.841003,RIVERSIDE,US Forest Service,0.008997000222290021
63,SGX,2023/01/10 15:15,2023/01/10 23:15,SAN DIEGO,4 WNW RANCHO BERNARDO,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.04,-117.15,SEVERAL ROCKS BLOCKING THE WESTBOUND LANE OF DEL DIOS HIGHWAY NEAR MILE MARKER 10.,CAC073,San Diego,POINT (-117.15 33.04),KEARNY MESA,KEA,455,32.813,-117.125,SAN DIEGO,San Diego County,0.22837250272307044
64,SGX,2023/01/10 15:15,2023/01/10 23:15,SAN DIEGO,4 SW ESCONDIDO,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.09,-117.12,SEVERAL ROCKS ON ROADWAY. 10000 DEL DIOS HWY FOLLOWING HEAVY RAIN SHOWERS.,CAC073,San Diego,POINT (-117.12 33.09),VALLEY CENTER,VAL,1370,33.239399,-117.014198,SAN DIEGO,CA Dept of Forestry and Fire Protection,0.1830686330450987
65,SGX,2023/01/10 16:30,2023/01/11 00:30,RIVERSIDE,5 SW MT SAN JACINTO,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.82,-116.79,"LARGE TREE, SOIL, MUD AND ROCKS SLID DOWN ON HIGHWAY 243, ABOUT 150 CUBIC YARDS. PHOTOS SHARED. RAINFALL 2 INCHES PAST 24 HOURS.",CAC065,Riverside,POINT (-116.79 33.82),CRANSTON,CNS,1950,33.740002,-116.841003,RIVERSIDE,US Forest Service,0.09487352640752825
66,HNX,2023/01/10 21:11,2023/01/11 05:11,MADERA,COARSEGOLD,CA,DEBRIS FLOW,,LAW ENFORCEMENT,37.26,-119.7,CHP REPORTS MUDSLIDE ON SR 41 AT ROAD 415.,CAC039,Madera,POINT (-119.7 37.26),OAKHURST,OKH,2360,37.3447,-119.675797,MADERA,US Army Corps of Engineers,0.0880901538709115
67,HNX,2023/01/14 13:50,2023/01/14 21:50,KERN,4 SE KEENE,CA,DEBRIS FLOW,,LAW ENFORCEMENT,35.17,-118.51,CHP REPORTS 2000 LB BOULDER ON WOODFORD TEHACHAPI RD.,CAC029,Kern,POINT (-118.51 35.17),TWEEDY CREEK,TWC,3620,35.221001,-118.471001,KERN,Kern County,0.06420299060012899
68,SGX,2023/01/14 14:58,2023/01/14 22:58,ORANGE,8 E MISSION VIEJO,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.59,-117.51,ROCK SLIDE IN WESTBOUND LANE OF HIGHWAY 74 NEAR HOT SPRINGS CANYON ROAD. OVER 1 INCH OF RAIN HAS FALLEN IN THIS LOCATION SINCE 10 AM.,CAC059,Orange,POINT (-117.51 33.59),BELL CANYON,BEC,750,33.551701,-117.573097,ORANGE,Orange County Fire Authority,0.073810871895677
69,SGX,2023/01/14 15:25,2023/01/14 23:25,SAN BERNARDINO,6 NW FOREST FALLS,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,34.15,-116.97,BOULDERS IN BOTH LANES OF HIGHWAY 38 JUST WEST OF ANGELUS OAKS.,CAC071,San Bernardino,POINT (-116.97 34.15),CAMP ANGELUS,CAG,5780,34.150002,-116.977997,SAN BERNARDINO,San Bernardino County,0.007997000250096923
70,HNX,2023/01/14 15:38,2023/01/14 23:38,MERCED,18 SW GUSTINE,CA,DEBRIS FLOW,,LAW ENFORCEMENT,37.07,-121.21,CHP REPORTED VEHICLE-SIZED BOULDERS IN THE ROADWAY ON SR 152 AT DINOSAUR POINT.,CAC047,Merced,POINT (-121.21 37.07),LOS BANOS (CDF),LBN,350,37.053001,-121.049004,MERCED,CA Dept of Forestry and Fire Protection,0.1618909448270627
71,HNX,2023/01/14 15:53,2023/01/14 23:53,KERN,5 SE BLACKWELLS CORNER,CA,DEBRIS FLOW,,LAW ENFORCEMENT,35.56,-119.8,CHP REPORTED ROADWAY WASHED OUT WITH SEVERAL VEHICLES STUCK ON SR 33 BETWEEN BROWN MATERIAL RD. AND SR 46.,CAC029,Kern,POINT (-119.8 35.56),LA PANZA,LPZ,1650,35.3806,-120.188103,SAN LUIS OBISPO,CA Dept of Forestry and Fire Protection,0.4275608712323909
72,SGX,2023/01/14 16:43,2023/01/15 00:43,SAN DIEGO,4 NW RANCHO BERNARDO,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.06,-117.12,LARGE BOULDER THE SIZE OF A TOILET ALONG WITH OTHER ROCKS IN THE WESTBOUND LANE OF DEL DIOS HIGHWAY NEAR RANCHO RD.,CAC073,San Diego,POINT (-117.12 33.06),VALLEY CENTER,VAL,1370,33.239399,-117.014198,SAN DIEGO,CA Dept of Forestry and Fire Protection,0.20827401279324587
73,SGX,2023/01/14 19:03,2023/01/15 03:03,SAN BERNARDINO,1 SSE CRESTLINE,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,34.23,-117.29,LARGE BOULDER IN DOWNBOUND LANE OF HIGHWAY 18 AT HIGHWAY 138 IN CRESTLINE.,CAC071,San Bernardino,POINT (-117.29 34.23),ARROWHEAD SPRINGS HOTEL,ARS,2000,34.183998,-117.264,SAN BERNARDINO,San Bernardino County,0.05284112038933336
74,SGX,2023/01/14 21:46,2023/01/15 05:46,SAN DIEGO,3 NNE VALLEY CENTER,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.26,-117.01,LARGE BOULDERS REPORTED IN ROADWAY AT VALLEY CENTER ROAD/MILLER ROAD.,CAC073,San Diego,POINT (-117.01 33.26),VALLEY CENTER,VAL,1370,33.239399,-117.014198,SAN DIEGO,CA Dept of Forestry and Fire Protection,0.02102437644734958
75,SGX,2023/01/14 23:12,2023/01/15 07:12,SAN DIEGO,6 ESE ESCONDIDO,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.1,-116.99,LARGE BOULDER IN ROADWAY AT SR78/SAN PASQUAL ROAD.,CAC073,San Diego,POINT (-116.99 33.1),VALLEY CENTER,VAL,1370,33.239399,-117.014198,SAN DIEGO,CA Dept of Forestry and Fire Protection,0.14148365419722234
76,SGX,2023/01/15 00:47,2023/01/15 08:47,SAN DIEGO,4 ESE VALLEY CENTER,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.2,-116.97,ROCK SLIDE BLOCKING EB-LANES.,CAC073,San Diego,POINT (-116.97 33.2),VALLEY CENTER,VAL,1370,33.239399,-117.014198,SAN DIEGO,CA Dept of Forestry and Fire Protection,0.05920932701018639
77,SGX,2023/01/15 00:54,2023/01/15 08:54,SAN DIEGO,5 ESE BONSALL,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.26,-117.14,LARGE ROCKS IN ROADWAY AT CIRCLE R DR/ CAMINO DE LAS LOMAS.,CAC073,San Diego,POINT (-117.14 33.26),VALLEY CENTER,VAL,1370,33.239399,-117.014198,SAN DIEGO,CA Dept of Forestry and Fire Protection,0.1274776231540336
78,SGX,2023/01/15 01:01,2023/01/15 09:01,SAN DIEGO,1 NNE SANTA YSABEL,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.11,-116.67,THREE FOOT BOULDER AND ROCKS AND MUD IN WB-LANE.,CAC073,San Diego,POINT (-116.67 33.11),SANTA YSABEL,SYS,2990,33.109001,-116.672997,SAN DIEGO,San Diego County,0.0031591153825020844
79,SGX,2023/01/15 01:08,2023/01/15 09:08,SAN DIEGO,2 SSE BONSALL,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.25,-117.2,ROCK SLIDE REPORTED AT GOPHER CANYON RD/SPA HAVENS WAY.,CAC073,San Diego,POINT (-117.2 33.25),FALLBROOK WEATHER STATION,FBK,879,33.382,-117.286003,SAN DIEGO,US Navy,0.157545282407941
80,SGX,2023/01/16 04:19,2023/01/16 12:19,SAN DIEGO,4 SSE VALLEY CENTER,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.17,-117.01,ROCKSLIDE COVERING ALL LANES AT THE INTERSECTION OF LAKE WOHLFORD RD AND OAKVALE RD EAST OF ESCONDIDO. AREA HAS RECEIVED 2.5 INCHES OF RAIN IN THE PAST 24 HOURS.,CAC073,San Diego,POINT (-117.01 33.17),VALLEY CENTER,VAL,1370,33.239399,-117.014198,SAN DIEGO,CA Dept of Forestry and Fire Protection,0.06952585421984758
81,SGX,2023/01/16 05:21,2023/01/16 13:21,SAN DIEGO,7 ESE DULZURA,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,32.6,-116.64,LARGE BOULDERS BLOCKING BOTH THE EAST AND WEST BOUND LANES OF SR 94 AND SR 188 AT THE INTERSECTION OF CAMPO RD AND TECATE RD NEAR PORTERO (WEST OF CAMPO). AREA HAS RECEIVED 1.5 TO 2 INCHES OF RAIN IN PAST 24 HOURS.,CAC073,San Diego,POINT (-116.64 32.6),POTRERO,POT,2350,32.605,-116.609001,SAN DIEGO,CA Dept of Forestry and Fire Protection,0.03139964969549177
82,SGX,2023/01/16 06:01,2023/01/16 14:01,SAN DIEGO,7 SE ALPINE,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,32.76,-116.67,3 TO 4 FT ROCKS BLOCKING RD AT THE INTERSECTION OF LYONS VALLEY RD AND JAPATUL RD IN EASTERN SAN DIEGO COUNTY. AREA HAS RECEIVED 2.5 TO 3 INCHES OF RAIN IN PAST 24 HOURS.,CAC073,San Diego,POINT (-116.67 32.76),ALPINE,API,2041,32.834,-116.738998,SAN DIEGO,US Forest Service,0.10117669694153818
83,SGX,2023/01/16 06:21,2023/01/16 14:21,RIVERSIDE,6 E TEMECULA,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.5,-117.05,"REPORTS OF CARS STUCK IN MUD FLOW THAT IS BLOCKING LANES AND ROAD WASHED OUT AT THE INTERSECTION OF ANZA RD AND LINDA ROSEA RD NEAR TEMECULA, CA. AREA HAS RECEIVED 1 TO 1.5 INCHES OF RAIN IN PAST 24 HOURS.",CAC065,Riverside,POINT (-117.05 33.5),VAIL LAKE,VIL,1470,33.495998,-116.975998,RIVERSIDE,Rancho Calif Water District,0.07411013431372909
84,SGX,2023/01/16 06:32,2023/01/16 14:32,SAN DIEGO,1 E JULIAN,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.08,-116.56,ROCK SLIDES BLOCKING BOTH LANES ON SR 78 EAST OF JULIAN. AREA HAS RECEIVED 2 TO 2.5 INCHES OF RAIN IN PAST 24 HOURS.,CAC073,San Diego,POINT (-116.56 33.08),JULIAN,JUL,4240,33.076,-116.591003,SAN DIEGO,CA Dept of Forestry and Fire Protection,0.031259974552131024
85,SGX,2023/01/16 06:37,2023/01/16 14:37,SAN DIEGO,4 NE LAKESIDE,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,32.89,-116.85,MUD AND LARGE BOULDERS IN EAST BOUND LANES AT 15805 EL MONTE RD WHICH IS IN BETWEEN SANTEE AND ALPINE. AREA HAS RECEIVED AROUND 2 INCHES OF RAIN IN THE PAST 24 HOURS.,CAC073,San Diego,POINT (-116.85 32.89),EL CAPITAN RESERVOIR,ECR,800,32.882,-116.806999,SAN DIEGO,San Diego County,0.043738838587680295
86,SGX,2023/01/16 06:51,2023/01/16 14:51,SAN DIEGO,1 SW PALOMAR MOUNTAIN,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.31,-116.89,ROAD CLOSED PALOMAR MOUNTAIN SOUTH GRADE RD FROM THE 44.8 MILE MARKER TO THE 45 MILE MARKER DUE TO A ROCK AND MUD SLIDE. AREA HAS RECEIVED 2 TO 4 INCHES OF RAIN IN THE PAST 12 HOURS AND 7 TO 10 INCHES IN PAST 48 HOURS.,CAC073,San Diego,POINT (-116.89 33.31),OAK GROVE,OKG,2752,33.393002,-116.794998,SAN DIEGO,US Forest Service,0.12615352554724305
87,SGX,2023/01/16 06:58,2023/01/16 14:58,RIVERSIDE,7 WSW LAKE ELSINORE,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.61,-117.43,"3 FOOT BY 3 FOOT BOULDERS IN EAST BOUND LANES ON SR 74 (ORTEGA HWY) AND CANDY STORE, NEAR BEAR CANYON LOOP TRAIL. AREA HAS RECEIVED ABOUT 1.5 INCHES OF RAIN IN PAST 24 HOURS.",CAC065,Riverside,POINT (-117.43 33.61),EL CARISO,ECA,3038,33.650002,-117.410004,RIVERSIDE,US Forest Service,0.0447213597736064
88,SGX,2023/01/16 07:32,2023/01/16 15:32,SAN DIEGO,8 ENE PALOMAR MOUNTAIN,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,33.37,-116.75,BOULDERS SCATTERED IN ROAD FOR 3 MILES GOING NORTH BOUND ON SR79 AND CHIHUAHUA VALLEY RD EAST OF PALOMAR MTN. AREA HAS RECEIVED 1 TO 1.5 INCHES OF RAIN IN PAST 24 HOURS.,CAC073,San Diego,POINT (-116.75 33.37),OAK GROVE,OKG,2752,33.393002,-116.794998,SAN DIEGO,US Forest Service,0.050536244498388005
